"Model";"Violation.percentage";"LR.UC";"pval.UC";"LR.Ind";"pval.Ind";"LR.CC";"pval.CC";"DQ";"pval.DQ"
"fit.mle.sGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.mle.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010099;0.542518238294359
"fit.mle.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010091;0.54251823829437
"fit.mle.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010089;0.542518238294371
"fit.mle.eGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010096;0.542518238294362
"fit.mle.eGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;0.0101013117966367;0.999999978608207
"fit.mle.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.mle.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010098;0.542518238294359
"fit.mle.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294367
"fit.bayes.sGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294365
"fit.bayes.sGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010092;0.542518238294367
"fit.bayes.sGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294367
"fit.bayes.eGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010092;0.542518238294368
"fit.bayes.eGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.bayes.eGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
"fit.bayes.gjrGARCH.norm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010094;0.542518238294365
"fit.bayes.gjrGARCH.skewnorm";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010097;0.542518238294362
"fit.bayes.gjrGARCH.t";0;10.0503358535014;0.00152320169836362;0;1;10.0503358535014;0.00657048304241459;5.01010101010093;0.542518238294366
